brand,model,range_km,efficiency_wh_per_km,acceleration_0_100_s,fast_charging_power_kw_dc,seats,cargo_volume_l
Abarth,500e Convertible,225,156,7.0,67.0,4,185
Abarth,500e Hatchback,225,149,7.0,67.0,4,185
Abarth,600e Scorpionissima,280,158,5.9,79.0,5,360
Abarth,600e Turismo,280,158,6.2,79.0,5,360
Aiways,U5,315,156,7.5,78.0,5,496
Aiways,U6,350,150,7.0,78.0,5,472
Alfa,Romeo Junior Elettrica 54 kWh,320,128,9.0,85.0,5,400
Alfa,Romeo Junior Elettrica 54 kWh Veloce,310,164,6.0,85.0,5,400
Alpine,A290 Electric 180 hp,310,138,7.4,70.0,5,326
Alpine,A290 Electric 220 hp,305,144,6.4,70.0,5,326
Audi,A6 Avant e-tron,465,146,6.0,150.0,5,502
Audi,A6 Avant e-tron performance,575,151,5.4,200.0,5,502
Audi,A6 Avant e-tron quattro,560,157,4.5,200.0,5,502
Audi,A6 Sportback e-tron,495,136,6.0,150.0,5,502
Audi,A6 Sportback e-tron performance,610,141,5.4,200.0,5,502
Audi,A6 Sportback e-tron quattro,590,147,4.7,200.0,5,502
Audi,Q4 Sportback e-tron 40,340,156,8.1,110.0,5,520
Audi,Q4 Sportback e-tron 45,435,162,6.7,120.0,5,535
Audi,Q4 Sportback e-tron 45 quattro,410,165,6.6,120.0,5,535
Audi,Q4 Sportback e-tron 55 quattro,415,165,5.4,120.0,5,535
Audi,Q4 e-tron 40,325,159,8.1,110.0,5,520
Audi,Q4 e-tron 45,420,169,6.7,120.0,5,520
Audi,Q4 e-tron 45 quattro,395,171,6.6,120.0,5,520
Audi,Q4 e-tron 55 quattro,395,171,5.4,120.0,5,520
Audi,Q6 e-tron,395,166,7.0,150.0,5,526
Audi,Q6 e-tron Sportback,410,139,7.0,150.0,5,511
Audi,Q6 e-tron Sportback performance,510,145,6.6,190.0,5,511
Audi,Q6 e-tron Sportback quattro,500,149,5.9,200.0,5,511
Audi,Q6 e-tron performance,490,171,6.6,190.0,5,526
Audi,Q6 e-tron quattro,480,176,5.9,200.0,5,10 Banana Boxes
Audi,S6 Avant e-tron,530,156,3.9,200.0,5,502
Audi,S6 Sportback e-tron,555,149,3.9,200.0,5,502
Audi,SQ6 e-tron,470,169,4.3,200.0,5,514
Audi,SQ6 e-tron Sportback,495,164,4.3,200.0,5,511
Audi,e-tron GT RS,525,184,2.8,281.0,4,350
Audi,e-tron GT RS performance,525,182,2.5,281.0,4,350
Audi,e-tron GT S,540,172,3.4,281.0,4,405
Audi,e-tron GT quattro,540,169,4.0,281.0,4,405
BMW,i4 M50,450,197,3.9,131.0,5,470
BMW,i4 eDrive35,430,174,6.0,95.0,5,470
BMW,i4 eDrive40,515,174,5.6,131.0,5,470
BMW,i4 xDrive40,490,183,5.1,131.0,5,470
BMW,i5 M60 xDrive Sedan (MY25),430,172,3.8,136.0,5,490
BMW,i5 M60 xDrive Touring (MY25),425,179,3.9,136.0,5,570
BMW,i5 eDrive40 Sedan (MY25),480,159,6.0,136.0,5,490
BMW,i5 eDrive40 Touring (MY25),465,165,6.1,136.0,5,570
BMW,i5 xDrive40 Sedan (MY25),465,167,5.4,136.0,5,490
BMW,i5 xDrive40 Touring (MY25),450,174,5.5,136.0,5,570
BMW,i7 M70 xDrive,490,208,3.7,159.0,5,500
BMW,i7 eDrive50,520,177,5.5,159.0,5,500
BMW,i7 xDrive60,510,172,4.7,159.0,5,500
BMW,iX M70 xDrive,500,209,3.8,150.0,5,500
BMW,iX xDrive45,470,193,5.1,115.0,5,500
BMW,iX xDrive60,525,194,4.6,150.0,5,500
BMW,iX1 eDrive20,390,150,8.3,94.0,5,490
BMW,iX1 xDrive30,380,155,5.6,94.0,5,490
BMW,iX2 eDrive20,395,147,8.6,94.0,5,525
BMW,iX2 xDrive30,385,155,5.6,94.0,5,525
BYD,ATTO 2,245,145,7.9,51.0,5,400
BYD,ATTO 3 (MY25),340,144,7.3,75.0,5,440
BYD,DOLPHIN 44.9 kWh Active,265,132,12.3,50.0,5,345
BYD,DOLPHIN 44.9 kWh Boost,260,145,8.0,50.0,5,345
BYD,DOLPHIN 60.4 kWh,350,142,7.0,65.0,5,345
BYD,DOLPHIN SURF 30 kWh Active,190,136,11.1,45.0,4,308
BYD,DOLPHIN SURF 43.2 kWh Boost,270,134,12.1,60.0,4,308
BYD,DOLPHIN SURF 43.2 kWh Comfort,265,139,9.1,60.0,4,308
BYD,SEAL 61.4 kWh RWD Comfort,365,133,7.5,75.0,5,400
BYD,SEAL 82.5 kWh AWD Excellence,445,159,3.8,100.0,5,400
BYD,SEAL 82.5 kWh RWD Design,480,145,5.9,100.0,5,400
BYD,SEAL U 71.8 kWh Comfort,360,171,9.3,72.0,5,552
BYD,SEAL U 87 kWh Design,425,174,9.6,85.0,5,552
BYD,SEALION 7 82.5 kWh AWD Design,400,181,4.5,115.0,5,520
BYD,SEALION 7 82.5 kWh RWD Comfort,415,171,6.7,115.0,5,520
BYD,SEALION 7 91.3 kWh AWD Excellence,430,182,4.5,165.0,5,520
BYD,TANG Flagship,460,205,4.9,100.0,7,235
